tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,414,5195,9781,14746,4,179.2033165946514,0.00045740917092681896,0.003544921074682847,0.19630349860839613,0.002330112169010803,1095161,0.9474661817275782,18.404764685273854,0.5958192222351979,10.004830917874395,0.15534236899336748,10,10,10,8.631869143479237,0.197494553632909,0.014531670453288688,0.008466297851654592,0.01731791635886222,2.6071705580623257,0.00863932678248766,0.017236516863252543,2.0144927536231885,301.4492753623188,1,,0.0009342520144809063
5000,428,5201,5187,14715,9,185.92178653805829,0.00011668196496874035,0.0052584672212578985,0.1906649982997771,0.0006119737026157504,601171,0.9285899641953531,18.494443279513526,0.8645418326693227,10.123831775700934,0.6456846614106292,10,10,10,8.582453303197887,0.2117301054384587,0.01776799373656983,0.009435493175975704,0.021190446994053595,2.6326735656585436,0.015241582943905657,0.03056858388875175,2.0186915887850465,301.86915887850466,1,,0.007548752358985112
7500,447,5351,5332,14604,13,190.66182111851404,0.00013612003043179596,0.007421179643618767,0.182292155793068,0.0007467135919239162,615970,0.9070373920815902,21.300222087623663,1.4439733494851605,10.024608501118568,0.41967630673332507,10,10,10,8.46622963229773,0.2127188542219811,0.015376258692109422,0.011493499824065573,0.018407152009654548,2.6527805429765547,0.017295208835694985,0.0319894305152026,1.9798657718120805,297.9865771812081,1,,0.023722996163941044
10000,457,5945,5935,14015,30,182.5708791208791,0.00015882069143936497,0.013595650510573562,0.17560274450145785,0.0009044317154054868,637487,0.8912212566545877,27.912087912087912,2.4395604395604398,10.050328227571116,0.7880986325517237,10,10,10,8.211177640435826,0.23562191618174996,0.019579152066130093,0.013723044762994185,0.021518434657805886,2.642795126949434,0.015463197810200648,0.03462373982982243,1.7964989059080962,279.6498905908096,1,,0.04111721611721612
12500,946,10265,9776,7095,54,161.92142076502734,0.00022743116180599671,0.031428022869395236,0.11281809759309537,0.002015910272005117,793008,0.6832376695368677,50.68852459016394,4.800983606557377,9.187103594080337,2.4662377008922203,6,10,12,4.533084429907281,0.26459859310001077,0.01680874756100287,0.01785470845899567,0.017899045583815998,2.540952914757704,0.012884203488394693,0.0455677434533824,1.0940803382663848,209.40803382663847,1,,0.2800346086129465
15000,1034,12559,12471,5730,68,187.14601994253846,0.0002457150396198899,0.044728991806842304,0.07576346540553607,0.0032431863867981863,927149,0.5400715902173628,61.86412033124894,8.26897076221058,8.320116054158607,3.329872062945281,3,10,11,4.219467539238973,0.2980200325398552,0.018286881068213412,0.013101959119310608,0.02010764487610026,2.3936348115592736,0.014465233075695099,0.047430218022652,1.0338491295938104,203.38491295938104,1,,0.35995014394903097
17500,1053,12378,12359,5071,79,204.00469443496073,0.00021964624614693594,0.04508506561828773,0.06677328147378518,0.0032894331579790314,902909,0.48910322038948023,60.95083646295664,9.127517924206213,7.816714150047483,3.240828366395873,2,10,10,4.169660412951442,0.33074477668826446,0.013547893689946296,0.007963966018203143,0.015530915840459705,2.33760491805938,0.015055965546694567,0.0518224522092994,1.0218423551756886,202.18423551756885,1,,0.387512803253215
20000,1128,12466,12391,4807,93,218.404278895329,0.0002007633631909429,0.04487812584895736,0.06251755716072051,0.0032113117068029266,916010,0.4615706331410143,60.67166723491306,9.815376747357654,6.61613475177305,3.590618482688605,2,7,10,3.760075236115104,0.3594684827665417,0.00973394917427337,0.004674587781193149,0.011673233846503482,2.2749411908213393,0.014434675729667267,0.05918041814625624,0.9468085106382979,194.68085106382978,1,,0.33825292663081613
22500,1151,12401,12378,4557,108,225.42064032697547,0.00021094145456684502,0.044265108822186094,0.060259191970586594,0.0035005689201708626,937910,0.46179396104605874,61.46117166212534,9.978882833787466,6.639443961772372,3.6670000006083927,2,6,10,3.763563693334122,0.3622574737675708,0.00974890761873385,0.005900741502595536,0.011637426763005738,2.262901898072768,0.014394453095072705,0.058746340492861,0.947002606429192,194.7002606429192,1,,0.2928466008219878
25000,1141,11830,11840,4507,106,238.34717519158795,0.00020705442222894644,0.04408177497310523,0.06123829696436656,0.0033811263946387595,924688,0.45258269640395943,59.41008732846195,10.489752272322225,6.105170902716915,3.314560273800129,2,5,10,3.8089654917845364,0.3510135894052731,0.011048882313430115,0.006348691839426789,0.013302006265953358,2.2633861503613253,0.012960620156659289,0.057370649311600706,0.985977212971078,198.5977212971078,1,,0.30345707008692485
27500,1147,11960,11954,4621,117,238.68485651214127,0.00021941549635818376,0.044331180496071425,0.062322511178905034,0.003520645946507555,922369,0.44773911815147044,59.7439293598234,10.638675496688741,6.6408020924149955,3.1077721932755082,2,7,10,3.899437979013602,0.3571469971441518,0.01184423082657371,0.005789670073673214,0.013976921767957638,2.239231443340933,0.011688312653353605,0.062377110312563565,1.005231037489102,200.5231037489102,1,,0.3293127300618237
30000,1094,11603,11656,4641,128,238.79462746165714,0.00021196307550516298,0.04453558814859101,0.06063047532060827,0.0034959824145254035,898692,0.4503074063124771,57.99981849532625,10.545512296941647,6.727605118829982,3.275696658310714,2,7,10,3.948331755682526,0.3440000224818249,0.01435867981927099,0.007933924054541356,0.017524246818908,2.265175339525749,0.01292086086142853,0.058364310397730414,0.9908592321755028,199.0859232175503,1,,0.35498684108370887
32500,1055,11286,11325,4837,140,248.52209660842755,0.00022001385104381829,0.0453413768179495,0.0631829124087812,0.0034821733069278498,888367,0.4491672350565702,56.918620947397926,11.33233672802018,6.934597156398104,3.0002349361075518,3,7,10,4.007160800219877,0.32439633013752606,0.02066051090848116,0.010518572494416298,0.024429644530905046,2.275078966086489,0.013143846360847354,0.0589239564570444,0.9943127962085309,199.43127962085308,1,,0.34941293727033973
35000,1155,11361,11261,3876,153,247.23856578204405,0.00022185230069891022,0.046260354993865105,0.06072376672004202,0.003653467376648876,869217,0.44818676627094456,55.79710144927536,11.397044984001505,7.267532467532468,2.820508146709733,4,7,10,3.703009347213158,0.3067132224962894,0.029143358644259293,0.016528942486294385,0.03473335866449428,2.3092568439628334,0.01461828805035449,0.05879521813383015,0.929004329004329,192.9004329004329,1,,0.3457814615178463
37500,1223,12334,12266,3401,158,240.43368184567527,0.00023412448345168832,0.04633305655410939,0.056064771342591316,0.0041759642970991395,893323,0.4401557775302147,58.86114231400674,11.19701028255422,7.550286181520851,3.1868312181971534,3,8,11,3.5551091169377065,0.2913145373197926,0.036858784014496146,0.025403735460665537,0.04255243986227064,2.3240405341737422,0.018033353467294157,0.06327724194541351,0.8381030253475061,183.8103025347506,1,,0.37174601813622643
40000,1208,12867,12882,3217,153,232.9177623519804,0.00024248226036980124,0.046596247385244656,0.055222088835534214,0.004391037454087922,894326,0.4404004311790304,59.99183340138832,10.878072682727645,7.460264900662252,3.4990647656857505,3,7,11,3.520397922752546,0.2765960051477373,0.04796752698833242,0.03333745777066743,0.052843877298464736,2.3644954515488332,0.022173653800341968,0.06204791389387188,0.8642384105960265,186.42384105960264,1,,0.3350644581047259
42500,1223,13373,13358,3408,163,226.2837604150291,0.00021485831613948656,0.04657831222920339,0.054049302038632355,0.003975228319986706,926072,0.4589693024952409,60.8001886495834,10.57396635749096,6.971381847914963,3.16176027189078,3,6,10,3.5003231519153353,0.2871422606418995,0.04679578000157678,0.03630093826597583,0.05062527483808891,2.4067492799537784,0.027971249198591185,0.06224632284490784,0.8699918233851186,186.99918233851184,1,,0.3102634358923309
45000,1248,13195,13170,3044,176,228.6646477526299,0.0002194318728267304,0.046486572817876756,0.0541333569430918,0.004053542680854066,927513,0.4638184197590378,61.30060567421103,10.664568058654766,6.832532051282051,2.740660012964962,3,7,10,3.449610201643908,0.286315716548693,0.039270795131326384,0.029283683979401936,0.04211055170666482,2.418500595801834,0.028632862669036554,0.06071356265989362,0.8629807692307693,186.29807692307693,1,,0.33638428440890494
47500,1184,13088,13152,3379,190,231.8539766362618,0.0002298670464189924,0.04655256379414543,0.054107803503021926,0.004248315982853644,922557,0.4560884415790512,61.70587293967035,10.765722515602496,7.327702702702703,2.7541202780940424,3,8,10,3.655867588848659,0.2798204846589587,0.038519477755755906,0.029322061355619065,0.04199415343280745,2.40355214689174,0.026765530211912844,0.06342068537757792,0.875,187.5,1,,0.38345068546271666
50000,1191,13116,13109,3157,198,231.19776957637998,0.00022323668972868956,0.04674610893258252,0.05531424457742506,0.004035790264047053,914982,0.4513345707871775,60.98363286264441,10.878690629011553,7.575146935348447,2.6397186370952705,3,8,10,3.6283248139393853,0.2751733283860018,0.043188858568723225,0.0341568712707611,0.04704440946468374,2.4022471142409363,0.025901729145493196,0.06142232295891129,0.871536523929471,187.1536523929471,1,,0.4481800920706582
52500,1208,12870,12853,3119,203,233.62158626328699,0.00023316606906295692,0.04719982123934705,0.0553543881368435,0.004212241827812079,914202,0.452217726876326,59.89370400654129,11.001798855273917,8.391556291390728,2.4171356184179595,5,9,11,3.7106027169479843,0.2710578927971001,0.0403814926182392,0.030140466331483866,0.0429516295255117,2.4074969679076,0.023731229125323845,0.061859237790370725,0.8857615894039735,188.57615894039736,1,,0.4829040611072924
55000,1155,12459,12512,3152,212,238.57795925239938,0.00024368809052924397,0.0474680419467963,0.055813389232301405,0.004366122428347571,897198,0.4505614202659684,58.452601448055226,11.321266206432059,8.561904761904762,2.024594194713474,6,9,10,3.685609911433557,0.27226564480727855,0.03836660580671556,0.028525753413356673,0.04227586167900925,2.4011109694187667,0.021505022241202137,0.06119351669941061,0.8380952380952381,183.8095238095238,1,,0.5487385644447444
57500,1167,12536,12524,3143,205,238.46922818227677,0.0002515385658507589,0.04798308930110923,0.056826988542348064,0.004426392675432903,909394,0.45110440452238376,58.92887170001681,11.433664032285186,8.773778920308484,2.025602544515436,6,9,11,3.6802405204111626,0.2796861729807576,0.03591653741745906,0.027993424470779786,0.03835782215599464,2.3943370292331307,0.017815283638068447,0.06107703326203782,0.8466152527849186,184.66152527849187,1,,0.5818423855644486
60000,1182,12331,12316,3167,207,238.7900613706103,0.00023367494215033587,0.048113563887867326,0.055752991715031806,0.004191253867500239,915062,0.4559184165606251,58.7964541425162,11.523781111489942,8.939932318104907,1.912806425599618,7,10,11,3.7139913100652544,0.2879420693276701,0.03106420944316364,0.022132861376278904,0.034262795449493705,2.37821535934264,0.015266949267566474,0.06021525329374652,0.9120135363790186,191.20135363790186,1,,0.57105068782166
62500,1249,12282,12215,3098,218,240.18160641877319,0.00021420293557651012,0.048176090469072404,0.05360552999392617,0.0039959111606728,920101,0.457384633662697,57.924251574497454,11.561470106116815,8.821457165732586,1.8098531468318595,7,9,10,3.5206479906285137,0.29672124292119056,0.027122206111777094,0.021229979009408696,0.029262744089720745,2.375963757474119,0.016224786456725326,0.06061832467968334,0.8630904723779024,186.30904723779022,1,,0.5695812846266795
65000,1223,12338,12364,2868,232,241.32214479945614,0.00022015288588683932,0.04765699412809339,0.05551551013715071,0.003965610427481492,911696,0.44713424777927746,58.3956492182189,11.441536369816452,8.991005723630417,1.750808962178387,7,9,10,3.5459816114473535,0.3022580860545309,0.02444249082622326,0.01919755587331045,0.027107183353098214,2.374325156753042,0.01744466502648911,0.06434252040364007,0.8773507767784138,187.73507767784136,1,,0.5676708022863138
67500,1222,11911,11912,2959,226,254.7264919426244,0.0002381621106301193,0.047635893876907684,0.05505641421598665,0.004325783181153206,901761,0.4455354116662401,56.52558880821675,12.202673986187357,9.324058919803601,1.5195595094998577,8,10,11,3.5849711611697974,0.2974578954399481,0.027197579497118794,0.020775403055688216,0.029336137592584344,2.3854757634796395,0.01820515296211492,0.06117993918474688,0.8870703764320785,188.70703764320785,1,,0.5758455817876125
70000,1185,11783,11820,2985,231,253.27308987768126,0.0002367334967422957,0.047469605234673425,0.05408033575653461,0.004377441327436485,909016,0.45206953691786506,56.452756603439106,12.024375110795958,9.443881856540084,1.6724418448600067,8,10,11,3.587673230068864,0.3045862951322131,0.022774184416558083,0.015932813618232903,0.025242811085350814,2.383809850663632,0.017740281245026964,0.06179365753632993,0.8345991561181435,183.45991561181435,1,,0.578019559227539
72500,1226,11688,11647,2975,241,258.9759963768116,0.00023295440342842224,0.04739389638632519,0.057040152868081846,0.004084042410741458,901940,0.4491229817376041,56.322463768115945,12.295199275362318,9.285481239804241,1.7164594154873187,8,10,11,3.4764391937756844,0.31432015105484495,0.02167409611237595,0.017661905346242436,0.023374638826067475,2.3861691307682316,0.016990971422516793,0.061889733759769555,0.9143556280587276,191.43556280587276,1,,0.5623988527966582
