tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,482,5466,9984,16538,8,180.53081401638553,0.00042452687566434073,0.0059702678560813426,0.19397711440439813,0.0022168095935448237,1130991,0.9325243674999119,20.97377360294656,0.9615722985008881,10.050976099549095,0.4355626918540609,9.75,10,10.375,8.085834001703052,0.19440244483429966,0.011554932253634517,0.0072111723742167054,0.013636982785830941,2.6038149820414835,0.008759955060671037,0.017455420478905,1.903835672471897,290.3835672471897,1,,0.009163405777360564
5000,539,6029,5972,15705,14,193.37214706036602,0.00020348260021767504,0.014113683792506744,0.1724315621643558,0.0014898400404792446,665563,0.8586095089245563,26.8893872036015,2.819159479472549,10.14533901987383,0.8357562304602708,9.625,10,10.875,7.652710230195387,0.22835367657500813,0.015253953995448342,0.009998998315292718,0.017653629345638997,2.5764761059141756,0.013639864130554576,0.03466350183988143,1.8483755435764293,284.83755435764294,1,,0.053451779194575715
7500,684,7790,7645,13172,24,196.04172833449536,0.0003618059994763365,0.025090232894462446,0.13950409210929848,0.0036300703573037326,752294,0.7547404131351583,37.77953213948577,5.0260191209179546,10.520597828118234,1.4220534782464107,9.25,10.375,12.25,6.605933199432272,0.26497191109955054,0.011962113872061416,0.009886475367302474,0.014108234252912522,2.5250050860076882,0.01702451096946997,0.038644927102186435,1.6102279088377989,261.0227908837799,1,,0.18271960814042143
10000,868,8961,8777,10536,36,202.85856570556308,0.0003406685504584836,0.033670471005473095,0.11774598188515638,0.003981817500696849,805599,0.673665739106712,45.09935845389896,6.924617615742495,11.130612011112461,2.323914524428905,9.125,10.5,14.25,5.528940356685166,0.28914089450798175,0.013990080822161553,0.011702190719993415,0.015439427082503506,2.476276334119517,0.01949596645754044,0.04394618103536134,1.447788759752754,244.7788759752754,1,,0.2605496363226633
12500,1026,11507,11350,7314,54,203.20686849327083,0.0003646711323847752,0.046271226972296055,0.0848399536759428,0.004703970568475126,901741,0.5494877905959006,57.449065732564755,9.35410069314742,11.560522373721872,3.215088169294589,8.625,10.75,16,4.380749146092146,0.32418705038158874,0.01748412883681855,0.016736519307807236,0.01927251581331338,2.4082852405319954,0.020798901311552213,0.048441955787569754,1.2057060021123827,220.5706002112383,1,,0.3949828787914126
15000,1130,12802,12699,5902,67,209.60581315476583,0.00037351682496790633,0.05167438394965369,0.07188773624917183,0.005365470317977655,923195,0.47758630195857676,61.704074628605994,10.81417759671508,12.054540611527266,3.7256791741331243,8,11.875,17,3.938109923334536,0.3435573607763852,0.026592353868004747,0.023371738248405313,0.028914646378558482,2.3477755592299303,0.02064994430718918,0.05246450354388615,1.0016684637583195,200.16684637583194,1,,0.4692740602362897
17500,1147,13214,13196,5544,78,213.62975050530957,0.0004070180009901612,0.05207333283363436,0.06782930732614562,0.0060396442362075815,921968,0.45063511620646385,62.5569748026838,11.163780171908678,12.307834365484982,3.8682078646227884,8.125,12.125,17.125,3.8179863944193926,0.3498880973065324,0.031574994253064634,0.026540601503706174,0.03395214023258715,2.3051240347608823,0.018008891166223392,0.054245246645341,0.9619983979635585,196.19983979635583,1,,0.5291126270695594
20000,1224,13636,13559,4945,92,216.00439392325586,0.0004516856574731734,0.052181090784258484,0.06564508608970877,0.006833872618736756,925329,0.4325611615353022,63.328735374525465,11.307259141038589,12.291961757279088,4.114215126743643,8.125,11.625,17.75,3.604953609902219,0.3418389176004131,0.03796237037059903,0.032315719796812706,0.04086949103745239,2.277619126121621,0.015167862056366149,0.0585372772330668,0.9002465170773175,190.02465170773175,1,,0.5386241640067605
22500,1252,13899,13871,4696,105,220.3385364821635,0.0005099587358944619,0.05153342450042491,0.066565178308093,0.007692297205799816,941742,0.42808121204614547,64.0341633907806,11.422644223575968,11.918304946136166,4.101494769850676,7.375,11.125,17.375,3.507661460483345,0.33604390811904183,0.04370582992899503,0.03647884961565406,0.046375685108243796,2.27830495695325,0.016491297451260628,0.06089161147763428,0.9065123319322733,190.6512331932273,1,,0.5397087488345795
25000,1268,14280,14263,4462,116,220.93925810957884,0.000576460189380439,0.051424105429427824,0.0689779824667798,0.008132550264355614,957675,0.42304509177341876,64.43073423490392,11.353289493798483,11.180971064493527,3.828576652384818,6.75,10.375,16.25,3.4638886410893113,0.3363785013136939,0.04592589157754359,0.04019329283537024,0.048241156965026434,2.2762156674519467,0.01628734027702856,0.06339350648424295,0.8969560560186041,189.6956056018604,1,,0.5550157984040988
27500,1294,14480,14454,4258,130,224.01277586889006,0.0005620897890564341,0.05126686111067032,0.06769419403852915,0.007860319439708292,976611,0.42036145033049904,64.59724035606078,11.497398218374226,11.104333601729,3.7368419435393543,6.75,10.25,16.25,3.409054347411845,0.33595212189804097,0.0491219315470878,0.043646141959325584,0.051892870595037194,2.2711388477074546,0.014965005733661819,0.06590323920307209,0.8818796137935675,188.18796137935672,1,,0.5565310934111363
30000,1305,14530,14519,4045,141,226.63458870304757,0.0005282855725005924,0.051293393223812135,0.0655356059070554,0.007672656524103269,975371,0.42038257872593243,64.2404052798972,11.613391825722902,11.167298590601751,3.729185905695387,6.875,11.125,16.125,3.349018668330328,0.3256917351201086,0.055508481168791986,0.04756798851977483,0.05862680799116438,2.280196219847577,0.015014605032282968,0.06634589371597882,0.8890572992858845,188.90572992858847,1,,0.5632448317518263
32500,1325,14565,14545,3953,150,229.47600019119412,0.0005556447037075433,0.051345023209877154,0.06420842654012773,0.0081831722008279,976484,0.4180662821343776,64.10326663082806,11.776411709798005,10.8915833242826,3.310614460749081,7.375,10.75,15.25,3.3433983819539477,0.3170292670250106,0.05896839392480961,0.04863020579285426,0.06266062209446749,2.284255691075125,0.01530094974995859,0.06641903869347354,0.8621845185445469,186.2184518544547,1,,0.568091939602059
35000,1346,14494,14473,3619,154,232.32264053744157,0.0005392182342862579,0.05169293141311809,0.060826927597847455,0.008323786754934767,961043,0.41166390372911815,63.747964331356016,11.981700882084287,11.292905905376937,3.2392212059340695,7.75,11.125,15.75,3.2498769423989984,0.31349638239064226,0.06150042225975813,0.051098619278847,0.06578701962537516,2.282217767983035,0.016238175409775703,0.067093982566098,0.8579823827672474,185.79823827672473,1,,0.5753383353937709
37500,1369,14468,14445,3449,158,235.0051335733184,0.0005863575801863418,0.051969300447322786,0.059397472136014776,0.00904463368022235,958423,0.408867268103641,63.78560051449993,12.255950809245643,11.77529683381739,3.3593762542526147,8.125,11.5,16.125,3.2157278481189904,0.30970287904387783,0.06665160414467748,0.0558069617809453,0.07072402740592484,2.2777994182142662,0.016515256142749717,0.06848917199863905,0.8261466578647567,182.61466578647565,1,,0.5975749281046919
40000,1350,14557,14577,3463,166,235.0970879871252,0.0006431351355342023,0.052187915068098265,0.05979073681885197,0.009705945132734749,948730,0.4079707588295685,64.16132188404079,12.294971391586351,11.762063151594244,3.5049881928364774,8,11.125,16.375,3.239095888312189,0.3060846700366977,0.07148033581470921,0.05855339688227802,0.07552205703764764,2.28711220535461,0.017715668043604964,0.06983006957593915,0.8265242936330921,182.65242936330924,1,,0.5978111479147028
42500,1369,14734,14715,3433,175,234.26010246595453,0.0006718944460410544,0.052294557782558516,0.05952268640536556,0.009821176138812613,946953,0.40979332149085645,64.48462807016654,12.28835559640038,11.718817840288557,3.4714572340573087,8,10.75,16.5,3.1466665194748527,0.306898846059846,0.07341928142634793,0.06072623117778416,0.07742094337503108,2.303093867636701,0.019879013597556033,0.07228080954417924,0.8350356820033127,183.5035682003313,1,,0.5954386817549575
45000,1372,14628,14625,3353,187,235.61319431245755,0.0006676228334940065,0.05224271345886795,0.059852843743887635,0.00951825191656158,951353,0.4121837777824245,64.34938357812054,12.336762523139464,11.488968884048495,3.196560705153398,8.25,11,15.5,3.140752826513774,0.3053842493253296,0.07513072051237701,0.062400733006368114,0.07927340218425023,2.305961360111269,0.020200367396053437,0.07191621735501612,0.8301215835282241,183.0121583528224,1,,0.5998561317435988
47500,1358,14730,14745,3405,195,236.1690573091283,0.0006679846739678418,0.05204364688007949,0.059767611848206836,0.009743611211047092,956892,0.41397596132779607,64.51072462583052,12.329570965608175,11.65378970018102,3.1258055922500114,8.375,11.375,15.75,3.1786131336090637,0.3013266415981397,0.07737122760748719,0.06499124793841507,0.08087306880359707,2.3103497546677594,0.020249321582433134,0.07282728969534008,0.8317340964057629,183.1734096405763,1,,0.6081838413956617
50000,1372,14761,14747,3299,204,236.7892530810844,0.000683426027076862,0.05204423709489602,0.05973951117390714,0.009896613595976683,950876,0.41292328237890813,64.44875759481262,12.383949413096571,12.194191432751424,3.2818737195489085,8.625,12.375,16.25,3.178219995941883,0.2977083495140674,0.08074871667259886,0.06763753003363973,0.0852219290138952,2.3163322651853386,0.02140904862330055,0.07224810386785686,0.8238601046843153,182.38601046843152,1,,0.6127760314090372
52500,1384,14477,14465,3249,206,240.47657286727443,0.0006291783833604171,0.052133236988290865,0.05831337744491506,0.009466868667981574,935917,0.4085021511427272,63.96151203124435,12.566612115868004,12.272886380629371,3.4542543556332976,8.5,12.125,16.625,3.1570124962234125,0.2969815109567287,0.08183090770056022,0.06658481619200189,0.08594728603994051,2.3122505527316806,0.020716075403698513,0.07291418752965219,0.8271527782301266,182.71527782301263,1,,0.6137546437641827
