tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,413,5156,9743,17271,2,179.9546348802222,0.0003895624855717598,0.0037864720819825153,0.19654211540584757,0.0019820814728046293,1116387,0.9501133613162168,18.97928480499942,0.6617289665547968,10.004842615012107,0.09829434929871399,10,10,10,8.68999797141945,0.19321629730564643,0.01258993439389553,0.007317340782304928,0.015256890607661241,2.6029512104923036,0.008111260315599014,0.016003575663142734,2,300,1,,0.001157273463719477
5000,447,5240,5206,17403,16,182.27502085070893,0.00013019418179183422,0.005316451110386552,0.1960905517516212,0.0006639492858215074,609591,0.9372814745795548,21.58048373644704,0.8932443703085905,10.033557046979865,0.3678848311398269,10,10,10,8.520347369625119,0.21055786943512997,0.020288566115336283,0.010826962168758145,0.0256216896675492,2.61341604790889,0.010592675381789294,0.030138845751227987,1.9731543624161074,297.3154362416107,1,,0.005421184320266889
7500,396,5425,5476,17835,25,184.49732089700336,0.0002080826638031042,0.008490419572276921,0.192736297810496,0.00107962364207959,631848,0.92121565568572,24.191307799166502,1.606667989680492,10.005050505050505,0.24613117032345824,10,10,10,8.61925560997867,0.2145852238418281,0.01851112564897733,0.01204385993379578,0.02216726958660222,2.6309404492116437,0.015012088162274092,0.03183143713804575,1.9974747474747474,299.74747474747477,1,,0.043659456253146385
10000,419,5179,5156,17920,6,184.55919816245563,0.0000884622792362234,0.004155487572729431,0.1993368688384343,0.00044378282728983515,626883,0.9448565042225032,19.920651493004804,0.7414909166840676,9.992840095465393,0.17599712710822604,10,10,10,8.639207388353272,0.2095299225303772,0.024119148404384033,0.015215004912024377,0.028829258511278204,2.6057449814502345,0.008845881509315869,0.03025540963686498,1.9976133651551313,299.7613365155131,1,,0.005637920233869284
12500,677,6265,6007,13716,19,180.5697012802276,0.00011711310438041408,0.017561205996190946,0.17237801038274866,0.000679397007311871,676465,0.8722458042354786,31.187766714082503,2.8959815078236133,12.001477104874446,3.0954768838892948,10,10,17,6.554143373290803,0.22104193835804375,0.013531413753341855,0.007712716038246553,0.016060177130439193,2.599287235924691,0.006698359490855166,0.032537341338263706,1.447562776957164,244.7562776957164,1,,0.10420222893081722
15000,823,13882,13736,9461,55,139.57104267963263,0.00027159549367891244,0.050920908903517054,0.09443083160700673,0.0028761315457774723,930965,0.6368041490273494,65.19256000617428,6.981940263949989,12.79951397326853,3.923001275864773,10,10,18,5.749220908691972,0.31668080570118423,0.010942087225230587,0.01755427444199775,0.008330415338802204,2.4621239545528684,0.005252529650938107,0.04656951545160554,1.448359659781288,244.8359659781288,1,,0.5104563827199812
17500,789,11250,11284,9400,83,176.10728150743302,0.0002873035086940999,0.052852754839268476,0.09706263850247271,0.002959980411894333,861372,0.5734402138853735,60.098475523151215,9.17252154152069,12.195183776932826,3.3668671334773075,10,10,17,5.574523316316134,0.35134215608136415,0.008665449457551587,0.012820526664989892,0.007489278427929711,2.4120460147690594,0.005144993831745313,0.04518997867033007,1.585551330798479,258.5551330798479,1,,0.41608302068325415
20000,894,9911,9806,7844,116,209.39679773445158,0.00023626692217750447,0.05207796506171403,0.08515583793398934,0.002774524071510548,798247,0.5247999737023766,55.22274262062956,10.735214028972878,11.212527964205817,2.684702643685545,9,10,16,4.805929629399786,0.3607239751351587,0.006640132270995478,0.011315143415715961,0.006303010435481279,2.3857977424267904,0.005170468963763664,0.046673824795381125,1.3109619686800895,231.09619686800895,1,,0.27337850986541373
22500,990,9838,9742,7107,79,229.6232598925792,0.00022777496399457867,0.05208454176676032,0.0799702336320345,0.0028482468244701554,786913,0.48864049160060186,54.29135152910227,11.979940808944427,10.41010101010101,2.176434622625857,8,10,13,4.26094962758824,0.37787780836426677,0.00715122044488945,0.008403610319731072,0.007075887690512511,2.3405988947642236,0.006008956120315539,0.047275802746782766,1.0565656565656565,205.65656565656565,1,,0.24438963803520566
25000,1075,10691,10606,6342,82,232.23397691082803,0.00023585105391970055,0.05170854399024415,0.07505779832829451,0.0031422591545799696,809386,0.45490393121580713,57.185509554140125,12.010350318471337,9.89953488372093,2.5067629023868823,7,10,13,4.063913761383035,0.3870971658595585,0.009753110850250903,0.011024894739215916,0.009455562846372724,2.314665056189668,0.007600764881447203,0.052751297688830995,1.0204651162790697,202.04651162790697,1,,0.3068826775256378
