tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,613,5569,9956,12520,12,181.35821917808218,0.0005161107512953368,0.008538150525754342,0.18665112580006096,0.0027651092329771965,1102956,0.8957647236540862,21.484018264840184,1.0688356164383561,9.95758564437194,0.935869606122246,9,10,11,6.4540350467651555,0.19261882174315095,0.010796842786434753,0.006201199243713538,0.00926948519857643,2.616458583118561,0.010072710452509022,0.017816182045613776,2.0783034257748776,307.8303425774878,1,,0.00976027397260274
5000,874,9029,8768,7401,23,230.11845102505694,0.0014127168712371161,0.04835110274490993,0.10099978909178504,0.01398732496315699,759730,0.5014898220794669,51.73373829410276,10.731586940015186,10.782608695652174,1.6676679246286286,9,10,13,4.427431468331683,0.34931126929832673,0.004815048769826624,0.008009571570610403,0.005089067514790868,2.3868721625783125,0.020201945317596823,0.05358425172550905,1.9130434782608696,291.30434782608694,1,,0.30597738979723266
7500,974,9877,9777,6196,42,233.75118912797282,0.0011745593495686927,0.049776242630402784,0.08478468954260829,0.013853436934252398,801651,0.4754804472885519,56.16081540203851,11.603624009060022,11.188911704312115,2.3356095824360916,9,10,14,4.032008479624841,0.36732824635416134,0.006979101888447542,0.007938711305063914,0.007464870908395517,2.3153378204894675,0.01882305456274639,0.05534728643075285,1.542094455852156,254.2094455852156,1,,0.4351566635907574
10000,1037,11515,11452,6099,56,215.44885771163143,0.0009224064147331299,0.04835585681820885,0.07923973272238959,0.011640705780327542,883149,0.4785773855875511,60.2711157455683,10.581571712958574,11.257473481195756,2.4924678395259336,9,10,15,3.992485624840766,0.3769918828585071,0.006347000124508947,0.00858020439022339,0.006140453971646357,2.2787032257186137,0.018151907254386198,0.05871285513246721,1.1947926711668273,219.47926711668273,1,,0.5295191611884521
12500,1072,12905,12870,5327,65,200.66858910063524,0.0009231835404797635,0.04812688394698909,0.08156330749892733,0.01131861334205831,931280,0.47601036174088696,62.39551989301237,9.689735874289536,11.551305970149254,2.579551146098375,10,10,15,3.7113605110874675,0.3789413911732769,0.006907948865008471,0.007644553113232875,0.006771453443619294,2.2763697079032275,0.016745204551873134,0.06291623194906247,0.9897388059701493,198.97388059701493,1,,0.5615893333380595
15000,1208,13430,13294,4411,80,203.94810715431504,0.0007336230520494171,0.04882201594675,0.0710194195926366,0.010329893658064762,994221,0.4793122000746288,63.097529675970485,9.91762913057427,10.832781456953642,2.3268199197603994,8,10,14,3.344768628930924,0.41303238930544695,0.0057230335074684975,0.007498307739546661,0.005344615531499433,2.2680453408432446,0.015646948211187468,0.06587434334119771,0.8443708609271523,184.43708609271522,1,,0.5765739673563961
17500,1175,13482,13515,3995,88,214.16666666666666,0.0006301425638051384,0.04922764513417167,0.06499255985072834,0.009695610778409379,1055595,0.48845444802905197,63.00678340432245,10.522243256034075,11.182127659574467,2.8459788251258384,9,10,16,3.5852193365446094,0.43579768800135715,0.008773368567720126,0.012358654760738613,0.008549854741919372,2.2490442792246084,0.015604602960622507,0.06884015420357936,0.8723404255319149,187.2340425531915,1,,0.5808008259723833
20000,1220,13554,13509,3481,100,218.92299745708837,0.0006254210423803167,0.0504353823913599,0.06051609744417224,0.010334788077788473,1118705,0.5196337729321576,62.913223140495866,11.026859504132231,12.445901639344262,3.5454229912729023,9,11,18,3.518425789959892,0.4452906236535295,0.01848014117731452,0.022189434395191904,0.018558736603472965,2.2738728037224254,0.016427470349062206,0.06876712328767123,0.9327868852459016,193.27868852459017,1,,0.6179575164768625
22500,1210,13259,13269,3388,109,229.66234393878372,0.00048052157734090894,0.05042645853151208,0.056106747781038725,0.008564416872212672,1149830,0.5295954029849647,62.06202174788562,11.588884414015304,12.831404958677686,3.751320055436827,10,11,18,3.3846156326310215,0.4553321709168462,0.028008253335962966,0.03252564191105962,0.02758088520892706,2.265563297155436,0.014521700060375451,0.06707135088651137,0.8785123966942149,187.8512396694215,1,,0.6113193213771632
25000,1227,13019,13002,3271,118,233.18436348751536,0.0004971853342469793,0.050582796277181694,0.05701671451743011,0.008719992697842821,1175861,0.540398655461567,61.85837085550553,11.780843225542366,12.06356968215159,2.924065000051303,10,11,16,3.4740308447010935,0.45696370167958555,0.03342734888686342,0.034530234552338765,0.03293215221668317,2.2688230071018185,0.01323479247988945,0.06529087261785356,0.8785656071719642,187.8565607171964,1,,0.5918572025834855
27500,1216,13211,13222,3349,124,237.60315797953757,0.0005372410838838867,0.04988676897988975,0.05912399178265342,0.009086684908875006,1240513,0.5602063054950672,62.05590912752759,11.94747442197696,11.426809210526315,2.797362188491053,9,10,16,3.4639829859192632,0.45136210384356035,0.036511600894442935,0.039644955678952876,0.03598372434748318,2.268511484778346,0.013027673929392787,0.06337974112702814,0.9070723684210527,190.70723684210526,1,,0.5774787776787391
