tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,558,5610,10052,19284,19,183.24852807971016,0.0004189800945934974,0.010559246570674594,0.18674956190801284,0.0022435399061330828,1163216,0.9205068732397487,25.294384057971016,1.5953351449275361,10.474910394265233,1.313800982129579,10,10,12,7.394994207722637,0.19595309703859398,0.008267406161802852,0.005290736278168818,0.009452966264182006,2.5983581632603148,0.007052846606096819,0.0172665856173343,1.8978494623655915,289.78494623655916,1,,0.013020833333333334
5000,1125,11072,10505,9437,40,203.442738131085,0.0002345757017407787,0.051277018769839616,0.09095814715463457,0.0025789410743161387,1083079,0.6131544011707395,59.881561778580746,10.173943591287765,10.905777777777777,1.9632201313023012,9,10,14,4.049915674675895,0.3203599440446718,0.0071621240026825215,0.008698998776176,0.006395002472883669,2.3636265927224485,0.007000096668001605,0.042549430278807907,1.263111111111111,226.3111111111111,1,,0.2229582790053897
7500,1271,16506,16360,7215,64,180.31753584570487,0.0002600627214188632,0.05911222176422094,0.058763730754662326,0.004425565192663159,1045157,0.4330456601877023,70.27661464281182,10.616673011039207,10.24390243902439,2.32226425833173,8,10,14,3.675853112904816,0.3740592100048664,0.0128228336692339,0.012344935479616645,0.014651142340748134,2.1685559917942516,0.007111584547963652,0.0619566686185307,0.8756884343036979,187.56884343036978,1,,0.3319164235237029
10000,1484,19249,19036,4453,81,179.3241160719165,0.00027273449857807944,0.06017815417902669,0.04918140211622555,0.005545480340994609,1141950,0.4260252380641491,72.75807421170556,10.813487075796491,11.307277628032345,2.6002645264585653,8,11,15,3.046315410816737,0.3174948729096746,0.04184076371808853,0.04741655317794497,0.04501497357447878,2.200369785530758,0.008928609542022672,0.06582970253688365,0.7338274932614556,173.38274932614556,1,,0.5888400096614228
12500,1578,20678,20584,4080,93,180.26361436062928,0.00028826759200010403,0.05953860033081611,0.04415916465474146,0.006527922216235858,1231682,0.4272645752354985,74.34953610326744,10.74329366680113,9.908745247148289,2.3882978485051845,7,10,13,2.926626270306511,0.29735282796905577,0.06328988115853396,0.06284993871452627,0.06359105618131489,2.228388705349627,0.010370376137457534,0.06723394016641034,0.7566539923954373,175.66539923954372,1,,0.7351964840251455
15000,1527,19696,19747,4114,110,197.25314589585636,0.0002828615757398879,0.05777857437237114,0.042543967130956185,0.006648688282152932,1188394,0.3981364813656512,73.50602853682936,11.387247933449165,9.053700065487885,2.120408919217087,7,9,11,2.887564016098151,0.3172984022494844,0.05760933900229882,0.05697225388391826,0.05874864839441795,2.2066170142993164,0.01193675939717028,0.07166116667697536,0.7321545514079896,173.21545514079895,1,,0.710768880005515
17500,1593,19559,19493,3750,127,204.1895135481118,0.0002941708436154532,0.057948537773407374,0.04036195487440048,0.00728832001648242,1145755,0.3810328130757453,73.10646468956689,11.831395348837209,9.424984306340239,2.1205486777409757,7,10,12,2.8136260591540507,0.3292673915806336,0.062116004619635755,0.058016826645739296,0.06290433488911187,2.1869888062141993,0.01213209664230399,0.07734376235744451,0.7275580665411174,172.75580665411175,1,,0.722019237731028
20000,1524,19097,19166,3706,134,205.96984979122607,0.0003209760616526403,0.05858430892355512,0.04191274393260607,0.007658197281684929,1103940,0.3746164553791942,72.70213112087197,12.061276503443414,9.801181102362206,2.1887264651802445,7,10,12,2.95337758537447,0.34389191558171694,0.054583916258188925,0.05062956497548173,0.05547616817568954,2.1979301499903365,0.012946144797889886,0.07937933069802434,0.6876640419947506,168.76640419947506,1,,0.7164371058568669
22500,1579,18125,18070,3554,146,217.04489396035038,0.0003085596388748349,0.05908811953400661,0.04194545012517166,0.007356212365203988,1038584,0.356362765453347,71.76694329183955,12.818983402489627,9.84547181760608,1.9307673732117723,8,10,12,2.8646676490452094,0.35886007316912877,0.0523462956133051,0.0487036720864169,0.05538178034170622,2.1949071081986915,0.01288924980371299,0.08281171471649838,0.661811272957568,166.1811272957568,1,,0.7109295758953316
25000,1553,17674,17700,3598,148,221.54775413711585,0.0003579228358755066,0.05928073718818265,0.04552927274703252,0.007861378279951443,1052471,0.36314856584280564,71.04018912529551,13.118853427895981,10.522858982614295,2.1043967871598794,8,10,14,2.8909049619653913,0.34574974482252047,0.05623784048587542,0.04894023718104933,0.05758654864651885,2.1978624040384003,0.013598608717918625,0.08264130475442337,0.6877012234385061,168.7701223438506,1,,0.7060648149315347
