tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,470,5533,10063,16580,13,179.50044693887062,0.00043378987965098065,0.006573563009320128,0.18868127990301936,0.0023090566749537976,1128570,0.9325957063671975,22.023435381143273,1.0504203171291713,10.224425413828092,0.8759337543335186,10,10,10.875,8.08545990844864,0.1987241758700019,0.012967033260933836,0.007636399251611742,0.015460282921377742,2.609560704315686,0.00989540641332118,0.01715039712089156,1.9270275427186105,292.70275427186107,1,,0.021371913820180045
5000,811,8126,7784,11869,29,186.94558451337718,0.00027765350614354195,0.026270503225121603,0.1484030042958055,0.0020631440548672295,797815,0.7798742239082441,39.616486711862684,4.679561359380475,10.335219972129885,1.8791762607422937,8.75,9.625,13,5.945452337752709,0.25106081122823676,0.014979559139540076,0.012698478123471397,0.015979173946523373,2.5729734520301064,0.03597218481212931,0.038174594146184765,1.523062570374786,252.3062570374786,1,,0.18682034181289242
7500,1046,11489,11255,7284,45,199.8129273502435,0.00035772866188262393,0.044513048012257056,0.09277025301012012,0.003849508810948775,934917,0.5704051943566012,56.66909806055815,8.596053483327772,10.615639139866863,2.5066223888801002,8.125,9.875,14,4.403364466444391,0.332707299352692,0.011547024867854517,0.01260312177976204,0.011818890431092204,2.4495956258890135,0.03809514592482241,0.04618221344776713,1.25834610545655,225.83461054565498,1,,0.3345111358537018
10000,1127,12719,12638,5751,62,211.77148213663287,0.00034918286988673113,0.0516641350558343,0.0734392006169184,0.004727752753655322,928839,0.475241144245564,61.17494258939999,10.870816291316139,10.3267683065851,2.5169819038285866,7.5,10.125,13.625,3.9752504786751857,0.37169428330900156,0.01790247540014765,0.02024357232473386,0.018563156020401397,2.3371715971078433,0.020976286315344476,0.05092911042629743,1.022058923936203,202.2058923936203,1,,0.41810835774188027
12500,1168,13331,13289,5300,74,215.27944357025243,0.000354654515856793,0.052449110714961035,0.06897219104903968,0.005124626106717116,940104,0.44886429967266084,62.44216937740772,11.29991971654042,10.166309438826387,2.5616680278009576,7.375,9.875,13.375,3.819667806427386,0.38156250650653906,0.023212668657966087,0.02472721723723749,0.023192645980650923,2.285663151784839,0.014174969893455585,0.054961098393731304,0.9693320907209306,196.93320907209306,1,,0.4697199106533063
15000,1209,13451,13410,4932,86,221.2628344043905,0.000336943688685487,0.052328063876550375,0.06622245424891082,0.005063500814737654,941893,0.4353616866685821,63.08321780548852,11.60600063589877,9.760744289552582,2.6497935149526186,6.625,9.75,13,3.700663201887609,0.3829247678786036,0.02439774264946859,0.0252706947205766,0.02515816565253154,2.2694232588360217,0.01342982479720383,0.0574829861586466,0.9474596673129955,194.74596673129955,1,,0.4814913683174056
17500,1241,13515,13483,4616,99,226.6748634113442,0.0003248424035842491,0.052133601430285434,0.0632243274787355,0.005165556318191638,952207,0.4301979655058004,63.07446095715169,11.827177480612232,9.830372869407029,2.959500574440446,6.375,9.75,13.75,3.633826790453801,0.38527008006240826,0.029611098856366345,0.029027934194331792,0.030119347280879078,2.260052905111671,0.012437726697259914,0.05863174500825864,0.9341413246818624,193.41413246818624,1,,0.46524256324352997
20000,1266,13702,13678,4336,107,230.02447262967388,0.00033394722235150995,0.05193304211200215,0.060214201045061866,0.005531321718110116,960876,0.4239791366081161,63.59766936074848,11.98107634701009,9.749383397833494,3.1747789583440196,6.125,9.5,13.875,3.525684510625572,0.39386358120902315,0.03140405179049148,0.03142414103283111,0.03226420048202234,2.2423254840708178,0.01208254316159758,0.06062784164506651,0.905658099633848,190.56580996338482,1,,0.46172567478741755
22500,1278,13625,13613,4231,120,233.79997978418277,0.0003527493786328226,0.05210163884024069,0.05777200263047944,0.005948310284712923,953872,0.42099252221129857,63.318119293107685,12.18296927173806,9.536910257789962,3.012426966488654,5.875,9.375,13.125,3.514142747827124,0.40212172416988234,0.0338854296900955,0.032698258789256085,0.03474266654680152,2.235360573495528,0.011849240248632587,0.06214226432286256,0.8917702285087169,189.17702285087168,1,,0.4571098648276405
25000,1319,13628,13586,3847,125,238.98921978379633,0.0003559901875716076,0.051968714317395234,0.05641421649713112,0.006207722558803854,960509,0.42166521306900384,63.433608880460056,12.440514427784063,9.349675698168078,2.954759374311365,5.625,9.25,13.25,3.3584557332857,0.4023185069204631,0.03825506820845978,0.036908429621832356,0.03897268142832389,2.229255279292697,0.011388286123687997,0.06317072184993593,0.8817926061864877,188.17926061864875,1,,0.45005458574694146
27500,1347,13847,13820,3629,135,239.78006123923726,0.000355804737052613,0.0519489762615699,0.054205652267114386,0.006289350700136861,991898,0.42978529157560724,63.472699008537255,12.491233483368383,9.189866771242656,2.8273214348259215,5.875,9.125,12.625,3.3063470415460556,0.40344084780767914,0.04119697193925825,0.03934343280060265,0.04215935638023459,2.2324223718863045,0.010750386457590022,0.06386357843277318,0.8635144396041503,186.35144396041505,1,,0.44987422526001825
30000,1348,13994,13993,3572,144,240.2931983960791,0.0003654101076800269,0.052091019280678726,0.05177847799042497,0.006710128218753588,1012687,0.4390685468983823,64.00053286822725,12.537021387968164,9.294062665615582,2.7826519554428906,6,9.125,12.5,3.339806658729263,0.40416650482894995,0.04652858217531755,0.04357228673972727,0.04755891085173596,2.2307634827365748,0.010964765610835604,0.0654498097779819,0.8493616070183384,184.93616070183387,1,,0.4600516749607683
32500,1365,13858,13840,3369,149,243.5813574534335,0.00035149496383220013,0.052147738476733034,0.05204286582851433,0.006453956385092754,1021958,0.4433848492239245,63.68057086541831,12.696209982142149,9.438570516815183,2.9458150321461143,6.25,9.125,13.125,3.3119515758097355,0.40484015820267294,0.049413648464577825,0.045315157138914944,0.05094044877520143,2.2244968008728496,0.010722690095940027,0.06473519734550345,0.8414343726846181,184.14343726846184,1,,0.4653858743344079
35000,1385,13664,13643,3400,158,247.24043578725446,0.00032865174027862335,0.0521236289823715,0.05129164262664161,0.00610075291999018,1012357,0.44405334300975385,63.15181847187888,12.87809439777189,9.51512949977357,3.160939633667792,6,9.125,13.125,3.2392613065347726,0.40451818303764453,0.05133336111075642,0.04667059190286127,0.05272734114782421,2.221800205483658,0.01058715521479215,0.06576450043550675,0.8411167946674204,184.11167946674203,1,,0.46178424867848955
37500,1351,13764,13798,3446,166,247.30007568763602,0.0003431565090230631,0.05199954893735067,0.05205366798909172,0.006239181239657701,1024305,0.4482562948506957,63.25672073300981,12.901565320952631,9.656822957118806,3.291346913299777,6.125,9.375,14.125,3.3021623139612895,0.40189685249904455,0.0538072442750331,0.04812361369930725,0.055101664458958845,2.219944764269481,0.011094003713519894,0.06568192941726603,0.8521148252586576,185.21148252586573,1,,0.4813549248704981
